,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0033003,Jamaal Jones,WR,CAR,,,,,,,,,,,,,,,,
00-0033006,Jaydon Mickens,WR,JAC,,,,,,,,,6.0,2.1,0.0,-2.0,,0.0,22.1,1.5
00-0033009,Tyler Boyd,WR,CIN,2.1,,2.1,3.5,2.6,,,,,,1.5,9.7,3.5,2.5,,8.9
00-0033021,Jake Lampman,WR,TB,,,,,,,,,,,,,,,,
00-0033025,Jalen Richard,RB,OAK,3.8,18.9,1.8,3.7,3.7,5.6,11.6,8.6,1.4,,4.8,11.0,1.9,,4.1,3.6
00-0033035,Jalen Simmons,RB,NYG,,,,,,,,,,,,,,,,
00-0033040,Tyreek Hill,WR,KC,26.8,8.9,20.0,8.5,16.8,7.5,25.2,3.8,15.3,,15.4,12.4,36.5,11.5,19.8,16.8
00-0033043,Austin Traylor,TE,DEN,,,,,,,,,,,7.6,4.4,3.6,,,2.4
00-0033045,Ezekiel Elliott,RB,DAL,19.0,6.2,18.4,29.9,14.2,,40.9,26.4,15.3,,,,,,,15.8
00-0033049,Darius Jackson,RB,DAL,,,,,,,,,,,,,,,,
00-0033054,Rico Gathers,TE,DAL,,,,,,,,,,,,,,,,
00-0033060,Leonte Carroo,WR,MIA,,,,,,,3.1,10.8,,,,,,,,
00-0033061,Thomas Duarte,TE,MIA,,,,,,,,,,,,,,,,
00-0033069,Braxton Miller,WR,HOU,,3.0,2.5,,,7.5,,,,0.1,3.4,9.3,11.1,,,1.5
00-0033077,Dak Prescott,QB,DAL,17.12,15.92,22.92,22.58,29.74,,29.96,7.32,26.66,13.24,-1.2,3.16,14.88,26.58,13.68,5.38
00-0033078,Keenan Reynolds,WR,SEA,,,,,,,,,,,,,,,,
00-0033079,Ricardo Louis,WR,CLE,5.2,4.7,2.0,11.4,12.1,5.5,5.1,6.2,,3.5,2.5,,,,,4.5
00-0033080,Seth DeValve,TE,CLE,8.2,8.1,4.9,1.2,5.4,8.9,4.7,1.0,,9.0,1.5,5.3,5.3,3.6,5.2,4.2
00-0033087,Marquis Bundy,WR,NYG,,,,,,,,,,,,,,,,
00-0033090,Hunter Henry,TE,SD,,15.0,,9.6,13.2,14.0,11.3,3.1,,1.7,4.5,18.6,15.1,15.0,5.8,
00-0033094,Marvin Hall,WR,ATL,,,,,,11.0,,,,,,,3.0,,,
00-0033095,Garrett Griffin,TE,NO,,,,,,,,,,,,,,,0.0,
00-0033098,Cardale Jones,QB,SD,,,,,,,,,,,,,,,,
00-0033104,Cody Kessler,QB,JAC,,,,,,,2.74,,,0.2,,0.0,,,,
00-0033106,Jared Goff,QB,LA,16.44,11.06,23.58,18.1,7.72,9.86,18.7,,28.44,26.5,9.8,19.86,15.0,14.16,10.8,25.44
00-0033108,Paxton Lynch,QB,DEN,,,,,,,,,,,,1.64,,,,
00-0033110,Tyler Higbee,TE,LA,3.7,,1.4,7.7,13.8,1.0,4.3,,7.8,4.2,1.5,7.8,1.6,,2.2,3.5
00-0033111,Pharoh Cooper,WR,LA,0.0,0.0,-0.6,0.0,4.2,6.0,0.0,,1.9,3.2,0.0,1.9,1.3,1.1,0.0,0.0
00-0033112,Temarrick Hemingway,TE,LA,,,,,,,,,,,,,,,,
00-0033114,Mike Thomas,WR,LA,,,,,,,,,,,2.2,,0.0,1.6,,
00-0033118,Kenyan Drake,RB,MIA,,-0.3,1.2,3.1,0.0,0.0,0.0,2.2,16.4,17.2,2.4,11.7,23.1,24.3,23.3,5.7
00-0033119,Jacoby Brissett,QB,IND,2.04,8.84,27.76,9.58,17.96,13.98,11.1,15.92,19.52,15.58,,7.44,10.56,7.76,14.12,13.4
00-0033127,Will Fuller,WR,HOU,,,,19.9,20.2,14.2,,29.5,5.2,3.5,,,,5.6,9.4,2.0
00-0033143,Kendal Thompson,WR,LA,,,,,,,,,,,,,,,,
00-0033164,Troymaine Pope,RB,HOU,,,,,,,,,,,,,,,,
00-0033215,Cyril Grayson,WR,SEA,,,,,,,,,,,,,,,,
00-0033217,Mo Alie-Cox,TE,IND,,,,,,,,,,,,,,,,
00-0033240,Scott Orndoff,TE,JAC,,,,,,,,,,,,,,,,
00-0033246,Johnny Mundt,TE,LA,,,,,,,,,,,,,,,,
00-0033251,Zach Pascal,WR,IND,,,,,,,,,,,,,,,,
00-0033258,Darrell Daniels,TE,IND,,,1.6,,2.3,,1.7,,,,,,,,,
00-0033259,Trey Griffey,WR,PIT,,,,,,,,,,,,,,,,
00-0033261,Bug Howard,WR,CAR,,,,,,,,,,,,,,,,
00-0033262,Colin Jeter,TE,TB,,,,,,,,,,,,,,,,
00-0033266,JoJo Natson,WR,LA,,,,,,,,,,0.0,,0.9,0.0,0.0,4.4,0.0
00-0033268,Brandon Radcliff,RB,MIA,,,,,,,,,,,,,,,,
00-0033275,Phillip Walker,QB,IND,,,,,,,,,,,,,,,,
00-0033280,Christian McCaffrey,RB,CAR,11.5,8.4,20.7,8.9,14.8,22.4,11.6,10.2,20.4,20.0,,11.7,15.9,8.3,25.6,7.8
00-0033282,Curtis Samuel,WR,CAR,,2.7,5.6,,0.0,0.8,3.0,4.6,6.7,9.5,,,,,,
00-0033286,Joe Williams,RB,SF,,,,,,,,,,,,,,,,
00-0033288,George Kittle,TE,SF,7.7,3.3,1.8,5.5,21.3,8.6,2.6,4.2,5.7,,,2.4,4.0,3.0,9.2,13.2
00-0033291,DeAngelo Yancey,WR,GB,,,,,,,,,,,,,,,,
00-0033292,Trent Taylor,WR,SF,1.8,2.6,12.2,9.7,1.6,3.1,6.9,6.3,4.2,,,5.5,15.2,3.1,8.0,10.9
00-0033293,Aaron Jones,RB,GB,,,,10.9,20.4,5.2,22.8,,3.1,2.2,,,8.0,-0.2,6.3,1.3
00-0033295,Elijah McGuire,RB,NYJ,,4.6,1.4,21.1,5.0,2.2,0.7,0.2,4.9,9.8,,4.4,4.0,-0.3,16.2,-2.0
00-0033304,Devante Mays,RB,GB,,,,,,,,,,,-2.1,,,,,
00-0033305,Malachi Dupre,WR,BUF,,,,,,,,,,,,,,,,
00-0033306,Victor Bolden,WR,SF,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,
00-0033307,Kendrick Bourne,WR,SF,,,,,,,,,5.9,7.2,,4.2,,4.9,12.5,2.2
00-0033308,Matt Breida,RB,SF,1.1,4.8,5.9,3.0,10.1,5.6,0.5,15.6,3.9,12.8,,3.4,5.9,2.7,1.6,15.2
00-0033309,KD Cannon,WR,DAL,,,,,,,,,,,,,,,,
00-0033315,Cole Hikutini,TE,SF,,,,,,,1.5,2.0,,,,,,,,
00-0033319,Nick Mullens,QB,SF,,,,,,,,,,,,,,,,
00-0033332,Josiah Price,TE,MIN,,,,,,,,,,,,,,,,
00-0033348,Jarveon Williams,RB,CIN,,,,,,,,,,,,,,,,
00-0033353,Montay Crockett,WR,JAC,,,,,,,,,,,,,,,,
00-0033357,Taysom Hill,QB,NO,,,,,,,,,,,,,,,,
00-0033366,Quincy Adeboyejo,WR,BAL,,,,,,,,,,,,,,,,
00-0033367,C.J. Board,WR,CLE,,,,,,,,,,,,,,,,
00-0033373,Taquan Mizzell,RB,CHI,,,,,,,,,,,,,,,,
00-0033374,Ricky Ortiz,RB,ATL,,,,,,,,,,,,,,,,
00-0033375,Tim Patrick,WR,DEN,,,,,,,,,,,,,,,,
00-0033379,Tim White,WR,BAL,,,,,,,,,,,,,,,,
00-0033382,Austin Carr,WR,NO,,,,,,,,,,,,,,,,
00-0033387,Jacob Hollister,TE,NE,,1.5,2.9,,,,,2.3,,0.0,,,,,,2.0
00-0033402,Malcolm Lewis,WR,MIA,,,,,,,,,,,,,,,,
00-0033407,Drew Morgan,WR,MIA,,,,,,,,,,,,,,,,
00-0033409,Austin Duke,WR,CAR,,,,,,,,,,,,,,,,
00-0033411,Francis Owusu,WR,MIA,,,,,,,,,,,,,,,,
00-0033412,Fred Ross,WR,CAR,,,,,,,,,,,,,,,,
00-0033417,Damore'ea Stringfellow,WR,SEA,,,,,,,,,,,,,,,,
00-0033421,Antony Auclair,TE,TB,,,,,,,,,,,,,2.1,,2.4,
00-0033434,Bobo Wilson,WR,TB,,,,,,,,,,,,,0.4,,,8.8
00-0033439,Pharaoh Brown,TE,OAK,,,,,,,,,,,,,,,,
00-0033441,Keon Hatcher,WR,OAK,,,,,,,,,,,,,,,,
00-0033449,Isaac Whitney,WR,OAK,,,,,,,,,,,,,,,,
00-0033455,Anthony Firkser,TE,TEN,,,,,,,,,,,,,,,,
00-0033460,John Ross,WR,CIN,,-0.8,,,,,,,,,,,,,,
00-0033464,Jehu Chesson,WR,KC,,,,,,,0.0,,2.0,,,,,,,
00-0033466,Isaiah McKenzie,WR,DEN,0.0,0.0,0.4,0.0,,1.0,,-2.0,2.4,-2.0,,,0.0,,,1.8
00-0033471,Isaiah Ford,WR,MIA,,,,,,,,,,,,,,,,
00-0033474,Gehrig Dieter,WR,KC,,,,,,,,,,,,,,,,
00-0033481,Marcus Kemp,WR,KC,,,,,,,,,,,,,,,,
00-0033514,Emanuel Byrd,TE,GB,,,,,,,,,,,,,,,,
00-0033517,Travin Dural,WR,NO,,,,,,,,,,,,,,,,
00-0033526,Samaje Perine,RB,WAS,,7.7,4.5,2.7,,13.7,,,0.9,7.0,19.6,16.0,9.9,9.2,8.6,8.4
00-0033528,Jeremy Sprinkle,TE,WAS,,,,,,,,,,,7.7,,,,,1.6
00-0033530,Robert Davis,WR,WAS,,,,,,,,,,,,,,,,
00-0033536,Mike Williams,WR,SD,,,,,,2.5,,1.7,,4.4,8.8,,,1.3,,
00-0033537,Deshaun Watson,QB,HOU,5.68,17.7,20.14,33.72,35.54,23.3,,32.78,,,,,,,,
00-0033550,Davis Webb,QB,NYG,,,,,,,,,,,,,,,,
00-0033553,James Conner,RB,PIT,1.1,0.9,,2.6,0.9,1.4,1.9,0.1,,1.2,1.2,,1.2,0.6,1.3,
00-0033555,Mack Hollins,WR,PHI,,6.2,,,,5.8,13.4,5.0,1.8,,1.7,3.2,2.0,,,
00-0033556,Tarik Cohen,RB,CHI,25.3,12.8,14.2,8.8,2.2,8.44,8.0,7.8,,2.1,15.9,1.7,14.4,10.5,5.7,4.1
00-0033559,Michael Roberts,TE,DET,,,,2.5,,,,,,,,,3.3,2.8,,
00-0033561,DJ Pumphrey,RB,PHI,,,,,,,,,,,,,,,,
00-0033562,Ryan Switzer,WR,OAK,0.0,0.0,0.3,-1.7,0.0,,1.5,1.7,0.0,0.0,0.0,-0.4,6.0,0.0,0.0,0.0
00-0033564,Jake Butt,TE,DEN,,,,,,,,,,,,,,,,
00-0033567,Brian Hill,RB,CIN,,,,,,,,,,,,,,2.0,1.2,6.1
00-0033573,Shelton Gibson,WR,PHI,,,,,,,,,,,,,,,,
00-0033576,Eric Saubert,TE,ATL,,,,,,,,,,,,,,,,
00-0033581,De'Angelo Sr. Henderson,RB,DEN,,,0.1,,,,,,,,,,,,,1.4
00-0033585,Brad Kaaya,QB,IND,,,,,,,,,,,,,,,,
00-0033589,David Moore,WR,SEA,,,,,,,,,,,,,,,,
00-0033591,Noah Brown,WR,DAL,,,2.3,,,,,,,,2.4,,0.8,,1.8,
00-0033594,Chris Carson,RB,SEA,5.9,11.0,13.2,9.6,,,,,,,,,,,,
00-0033596,Matt Dayes,RB,CLE,3.6,,,0.2,,,0.0,2.5,,0.0,1.5,0.0,0.0,0.0,,0.3
00-0033597,Chad Kelly,QB,DEN,,,,,,,,,,,,,,,,
00-0033599,Carlton Agudosi,WR,ARI,,,,,,,,,,,,,,,,
00-0033604,Krishawn Hogan,WR,IND,,,,,0.0,,,,,,,,,,,
00-0033611,Ricky Seals-Jones,TE,ARI,,,,,,,,,,,20.4,17.2,6.4,3.0,3.1,
00-0033613,James Summers,RB,PIT,,,,,,,,,,,,,,,,
00-0033620,Brandon Reilly,WR,BUF,,,,,,,,,,,,,,,,
00-0033623,Keith Towbridge,TE,BUF,,,,,,,,,,,,,,,,
00-0033627,Jason Croom,TE,BUF,,,,,,,,,,,,,,,,
00-0033630,Joel Bouagnon,RB,GB,,,,,,,,,,,,,,,,
00-0033633,Tanner Gentry,WR,CHI,,4.7,,,,,1.8,,,,,,,,,
00-0033641,Kermit Whitfield,WR,CIN,,,,,,,,,,,,,,,,
00-0033655,Brian Brown,WR,DET,,,,,,,,,,,,,,,,
00-0033658,Blake Jarwin,TE,DAL,,,,,,,,,,,,,,,,
00-0033662,Cooper Rush,QB,DAL,,,,,,,1.38,,,,0.0,,,,,
00-0033672,Kyle Sloter,QB,MIN,,,,,,,,,,,,,,,,
00-0033681,Keelan Cole,WR,JAC,,3.3,2.3,2.0,1.4,1.7,8.4,,7.7,9.1,5.4,5.0,13.9,18.9,31.6,16.8
00-0033683,Tim Cook,RB,JAC,,,,,,,,,,,,,,,,
00-0033687,Amba Etta-Tawo,WR,NYG,,,,,,,,,,,,,,,,
00-0033696,Sean Culkin,TE,SD,,,,,,,,,,,,,,,,
00-0033699,Austin Ekeler,RB,SD,3.8,0.0,1.6,13.8,5.8,1.9,14.4,3.1,,26.9,13.8,10.0,6.0,4.9,0.9,
00-0033705,Andre Patton,WR,SD,,,,,,,,,,,,,,,,
00-0033706,Artavis Scott,WR,SD,,,,,,,,,,,,,,,,
00-0033717,Travis Rudolph,WR,NYG,,,,,,,6.2,,,,6.4,,,,,1.6
00-0033719,Shane Smith,TE,NYG,,,,,,,,,,,,,0.0,,,
00-0033720,Colin Thompson,TE,CHI,,,,,,,,,,,,,,,,
00-0033725,Corey Clement,RB,PHI,,,8.2,3.0,4.9,0.2,8.5,5.4,25.6,,13.0,4.9,6.7,6.2,2.8,3.0
00-0033733,Greg Ward,WR,PHI,,,,,,,,,,,,,,,,
00-0033735,Billy Brown,TE,PHI,,,,,,,,,,,,,,,,
00-0033736,Algernon Brown,RB,KC,,,,,,,,,,,,,,,,
00-0033742,Tyrone Swoopes,TE,SEA,,,,,,,,,,,,,,,,
00-0033747,Dontez Ford,WR,DET,,,,,,,,,,,,,,,,
00-0033757,Robert Tonyan,WR,GB,,,,,,,,,,,,,,,,
00-0033760,Justin Davis,RB,LA,0.1,,,,,,,,,,,,,,,
00-0033763,Evan Baylis,TE,CAR,,,,,,,,,,,,,,,,
00-0033773,Riley McCarron,WR,NE,,,,,,,,,,,,,,,,
00-0033789,T.J. Logan,RB,ARI,,,,,,,,,,,,,,,,
00-0033798,Mason Schreck,TE,CIN,,,,,,,,,,,,,,,,
00-0033800,Akeem Judd,RB,GB,,,,,,,,,,,,,,,,
00-0033815,Reggie Davis,WR,ATL,,,,,,,,,,,,,,,,
00-0033838,Trey Edmunds,RB,NO,0.0,0.0,,,,,,,,10.8,,,,,,
00-0033839,Dede Westbrook,WR,JAC,,,,,,,,,,,6.5,10.1,13.8,19.1,4.1,11.4
00-0033840,Chad Hansen,WR,NYJ,,,,,,,,,,6.3,,,4.5,,5.1,
00-0033846,Justin Thomas,WR,PIT,,,,,,,,,,,,,,,,
00-0033854,Dare Ogunbowale,RB,TB,,,,,,,,,,,,,,,,
00-0033855,Chris Thompson,WR,HOU,,,,0.0,2.9,0.0,,0.0,,,0.0,0.0,2.1,,0.0,
00-0033856,Leonard Fournette,RB,JAC,21.4,14.1,17.0,24.5,31.4,21.8,,,,6.6,13.8,7.2,16.9,21.9,,16.0
00-0033857,JuJu Smith-Schuster,WR,PIT,0.0,10.6,5.9,13.7,9.8,6.2,11.9,32.3,,20.7,8.7,,5.7,,17.4,19.5
00-0033858,Jonnu Smith,TE,TEN,,11.0,9.4,,7.1,2.0,4.2,,,4.0,,,,,1.5,2.3
00-0033859,Josh Malone,WR,CIN,,,,,,,,11.5,2.3,1.6,,,2.9,,0.4,-0.2
00-0033869,Mitchell Trubisky,QB,CHI,,,,,9.32,9.72,4.58,9.86,,15.88,14.46,3.08,9.98,21.34,10.86,18.12
00-0033871,Corey Davis,WR,TEN,12.9,1.4,,,,,,,4.8,6.8,5.7,7.9,3.2,5.9,5.8,15.1
00-0033873,Patrick Mahomes,QB,KC,,,,,,,,,,,,,,,,
00-0033879,O.J. Howard,TE,TB,,2.7,2.2,14.3,,2.5,27.8,3.6,-0.4,,14.2,8.2,2.7,13.4,10.0,
00-0033881,Evan Engram,TE,NYG,8.4,14.9,9.5,12.2,,19.2,18.0,,17.0,15.1,1.9,4.8,22.9,9.4,18.1,2.2
00-0033885,David Njoku,TE,CLE,4.0,11.7,9.2,3.1,13.9,2.0,7.8,3.9,,1.3,2.3,8.7,17.4,1.3,,2.3
00-0033891,Zay Jones,WR,BUF,3.1,3.8,,2.8,1.9,,3.7,6.2,17.3,,10.8,12.3,4.2,,,
00-0033893,Dalvin Cook,RB,MIN,16.7,8.4,27.9,12.4,,,,,,,,,,,,
00-0033895,Gerald Everett,TE,LA,4.9,12.5,,1.8,1.8,7.4,,,6.7,,1.8,1.9,8.7,1.6,,
00-0033896,Adam Shaheen,TE,CHI,,,7.2,,,,,,,5.9,14.1,1.1,,14.4,,
00-0033897,Joe Mixon,RB,CIN,5.4,5.1,13.1,8.8,11.1,,9.8,11.9,13.6,11.0,6.9,25.5,5.2,,,5.2
00-0033899,DeShone Kizer,QB,GB,18.58,1.88,22.08,3.72,2.38,,0.56,14.96,,22.98,5.36,20.62,13.2,17.26,3.34,4.08
00-0033906,Alvin Kamara,RB,NO,7.8,8.4,13.2,25.6,,12.7,15.7,16.6,31.2,24.8,25.6,36.8,29.6,5.7,20.9,16.0
00-0033908,Cooper Kupp,WR,LA,17.6,6.3,3.7,17.0,7.4,5.5,15.1,,8.4,10.7,10.4,19.6,11.8,22.8,4.1,16.5
00-0033911,Taywan Taylor,WR,TEN,3.4,6.8,3.5,0.6,0.5,14.1,7.5,,0.6,5.8,,1.8,3.5,,0.8,
00-0033916,ArDarius Stewart,WR,NYJ,3.0,,3.4,0.0,1.2,1.8,0.0,,0.0,1.4,,,0.5,,,
00-0033921,Chris Godwin,WR,TB,,,7.4,,1.8,1.9,1.5,1.8,1.9,11.8,5.8,2.7,4.4,11.8,2.8,12.8
00-0033923,Kareem Hunt,RB,KC,45.6,25.9,25.3,16.1,14.6,16.0,15.7,9.8,10.1,,10.7,3.6,9.3,22.8,39.6,20.6
00-0033925,D'Onta Foreman,RB,HOU,0.4,4.0,11.0,4.5,2.7,5.9,,,3.7,1.8,23.0,,,,,
00-0033932,Kenny Golladay,WR,DET,22.9,1.8,4.5,,,,,,,8.4,7.2,8.1,6.4,5.6,6.9,6.8
00-0033933,Chad Williams,WR,ARI,,2.5,1.8,,,,,,,,,1.8,,3.3,,
00-0033936,C.J. Beathard,QB,SF,,,,,,13.2,14.4,10.68,17.36,25.02,,8.14,,,,
00-0033937,Amara Darboh,WR,SEA,,2.6,,3.0,,,4.9,,,1.3,,,,,1.8,
00-0033943,Josh Reynolds,WR,LA,,3.8,,,,,,,,,,13.7,2.6,3.7,,
00-0033948,Jamaal Williams,RB,GB,0.9,2.1,0.6,2.3,0.1,,,,11.2,8.4,13.5,29.5,20.3,30.8,3.0,5.8
00-0033949,Joshua Dobbs,QB,PIT,,,,,,,,,,,,,,,,
00-0033950,Wayne Gallman,RB,NYG,,,,13.0,13.2,5.2,4.9,,2.1,2.2,3.2,6.3,2.9,16.9,13.9,12.2
00-0033951,Marlon Mack,RB,IND,11.5,1.8,,,16.3,1.8,10.6,15.3,2.9,4.6,,5.1,6.4,6.4,1.4,7.4
00-0033953,Jordan Leggett,TE,NYJ,,,,,,,,,,,,,,,,
00-0033955,Jeremy McNichols,RB,SF,,,,,,,,,,,,,,,,
00-0033958,Nathan Peterman,QB,BUF,,,,,,,,,,7.16,-6.96,,2.9,7.28,,
00-0033966,Bucky Hodges,TE,PIT,,,,,,,,,,,,,,,,
00-0033968,Stacy Coley,WR,MIN,,,,,,0.0,,,,,,,,,,
00-0033975,Elijah Hood,RB,CAR,,,,,,,,,,,,,,,,
00-0033983,Colby Pearson,WR,ATL,,,,,,,,,,,,,,,,
00-0033992,Lance Lenoir,WR,DAL,,,,,,,,,,,,,,,,
00-0033994,Fred Brown,WR,LA,,,,,,,,,,,,,,,,
00-0034010,Alex Gray,TE,ATL,,,,,,,,,,,,,,,,
00-0034011,Dan Arnold,WR,NO,,,,,,,,,,,,,,,,
00-0034034,Rashard Davis,WR,PHI,,,,,,,,,,,,,,,,
00-0034038,Justice Liggins,WR,SD,,,,,,,,,,,,,,,,
00-0034052,Brandon Zylstra,WR,MIN,,,,,,,,,,,,,,,,
00-0034053,Chris Bazile,TE,ARI,,,,,,,,,,,,,,,,
00-0034054,River Cracraft,WR,DEN,,,,,,,,,,,,,,,,
00-0034057,Jevoni Robinson,TE,HOU,,,,,,,,,,,,,,,,
00-0034068,Simmie Cobbs,WR,WAS,,,,,,,,,,,,,,,,
00-0034072,Steven Dunbar,WR,SF,,,,,,,,,,,,,,,,
00-0034073,Ross Dwelley,TE,SF,,,,,,,,,,,,,,,,
00-0034074,Jack Heneghan,QB,SF,,,,,,,,,,,,,,,,
00-0034081,Steven Mitchell,WR,LA,,,,,,,,,,,,,,,,
00-0034083,Ricky Jeune,WR,DAL,,,,,,,,,,,,,,,,
00-0034087,Steve Ishmael,WR,IND,,,,,,,,,,,,,,,,
00-0034099,Martez Carter,RB,WAS,,,,,,,,,,,,,,,,
00-0034100,Shay Fields,WR,WAS,,,,,,,,,,,,,,,,
00-0034101,Matt Flanagan,TE,WAS,,,,,,,,,,,,,,,,
00-0034104,Cam Sims,WR,WAS,,,,,,,,,,,,,,,,
00-0034106,John Diarse,WR,DEN,,,,,,,,,,,,,,,,
00-0034109,Phillip Lindsay,RB,DEN,,,,,,,,,,,,,,,,
00-0034115,Jeff Wilson,RB,SF,,,,,,,,,,,,,,,,
00-0034119,Elijah Wellman,RB,WAS,,,,,,,,,,,,,,,,
00-0034126,J.T. Barrett,QB,NO,,,,,,,,,,,,,,,,
00-0034131,Kurt Benkert,QB,ATL,,,,,,,,,,,,,,,,
00-0034132,Christian Blake,WR,ATL,,,,,,,,,,,,,,,,
00-0034133,Dontez Byrd,WR,ATL,,,,,,,,,,,,,,,,
00-0034137,Justin Crawford,RB,ATL,,,,,,,,,,,,,,,,
00-0034141,Devin Gray,WR,ATL,,,,,,,,,,,,,,,,
00-0034144,Lamar Jordan,WR,ATL,,,,,,,,,,,,,,,,
00-0034146,Troy Mangen,TE,ATL,,,,,,,,,,,,,,,,
00-0034156,Malik Williams,RB,ATL,,,,,,,,,,,,,,,,
00-0034159,Will Dissly,TE,SEA,,,,,,,,,,,,,,,,
00-0034164,Trenton Cannon,RB,NYJ,,,,,,,,,,,,,,,,
00-0034169,Marcus Baugh,TE,OAK,,,,,,,,,,,,,,,,
00-0034170,Saeed Blacknall,WR,OAK,,,,,,,,,,,,,,,,
00-0034177,Tim Boyle,QB,GB,,,,,,,,,,,,,,,,
00-0034180,Jaelon Acklin,WR,BAL,,,,,,,,,,,,,,,,
00-0034184,Gus Edwards,RB,BAL,,,,,,,,,,,,,,,,
00-0034192,Nick Keizer,TE,BAL,,,,,,,,,,,,,,,,
00-0034193,Kevin Rader,TE,GB,,,,,,,,,,,,,,,,
00-0034196,Andre Levrone,WR,BAL,,,,,,,,,,,,,,,,
00-0034200,Mark Thompson,RB,BAL,,,,,,,,,,,,,,,,
00-0034201,De'Lance Turner,RB,BAL,,,,,,,,,,,,,,,,
00-0034205,Jarvion Franklin,RB,PIT,,,,,,,,,,,,,,,,
00-0034206,Quadree Henderson,WR,PIT,,,,,,,,,,,,,,,,
00-0034207,Jeff Badet,WR,MIN,,,,,,,,,,,,,,,,
00-0034208,Mike Boone,RB,MIN,,,,,,,,,,,,,,,,
00-0034214,Tyler Hoppes,TE,MIN,,,,,,,,,,,,,,,,
00-0034219,Peter Pujals,QB,MIN,,,,,,,,,,,,,,,,
00-0034220,Korey Robertson,WR,MIN,,,,,,,,,,,,,,,,
00-0034221,Roc Thomas,RB,MIN,,,,,,,,,,,,,,,,
00-0034222,Jake Wieneke,WR,MIN,,,,,,,,,,,,,,,,
00-0034225,Dimitri Flowers,RB,NYJ,,,,,,,,,,,,,,,,
00-0034237,Khalid Hill,RB,SEA,,,,,,,,,,,,,,,,
00-0034243,Caleb Scott,WR,SEA,,,,,,,,,,,,,,,,
00-0034244,Ka'Raun White,WR,CIN,,,,,,,,,,,,,,,,
00-0034245,Taj Williams,WR,ATL,,,,,,,,,,,,,,,,
00-0034247,Evan Berry,WR,CLE,,,,,,,,,,,,,,,,
00-0034253,Dontrell Hilliard,RB,CLE,,,,,,,,,,,,,,,,
00-0034256,Da'Mari Scott,WR,CLE,,,,,,,,,,,,,,,,
00-0034258,Derrick Willies,WR,CLE,,,,,,,,,,,,,,,,
00-0034267,Jaleel Scott,WR,BAL,,,,,,,,,,,,,,,,
00-0034268,J'Mon Moore,WR,GB,,,,,,,,,,,,,,,,
00-0034270,Tyler Conklin,TE,MIN,,,,,,,,,,,,,,,,
00-0034271,Jordan Lasley,WR,BAL,,,,,,,,,,,,,,,,
00-0034272,Marquez Valdes-Scantling,WR,GB,,,,,,,,,,,,,,,,
00-0034273,Damion Ratley,WR,CLE,,,,,,,,,,,,,,,,
00-0034279,Equanimeous St. Brown,WR,GB,,,,,,,,,,,,,,,,
00-0034286,Richie James,WR,SF,,,,,,,,,,,,,,,,
00-0034291,Chase Litton,QB,KC,,,,,,,,,,,,,,,,
00-0034292,Blake Mack,TE,KC,,,,,,,,,,,,,,,,
00-0034297,Byron Pringle,WR,KC,,,,,,,,,,,,,,,,
00-0034301,Darrel Williams,RB,KC,,,,,,,,,,,,,,,,
00-0034304,Julian Allen,TE,CLE,,,,,,,,,,,,,,,,
00-0034306,Ryan Smith,TE,GB,,,,,,,,,,,,,,,,
00-0034307,Janarion Grant,WR,BAL,,,,,,,,,,,,,,,,
00-0034309,Chad Beebe,WR,MIN,,,,,,,,,,,,,,,,
00-0034311,Johnny Stanton,RB,MIN,,,,,,,,,,,,,,,,
00-0034313,Paul Butler,TE,OAK,,,,,,,,,,,,,,,,
00-0034314,Henry Poggi,RB,NE,,,,,,,,,,,,,,,,
00-0034315,Chris Warren,RB,OAK,,,,,,,,,,,,,,,,
00-0034317,Keith Kirkwood,WR,NO,,,,,,,,,,,,,,,,
00-0034319,Deon Yelder,TE,NO,,,,,,,,,,,,,,,,
00-0034322,Pharoah McKever,TE,PIT,,,,,,,,,,,,,,,,
00-0034330,Jordan Smallwood,WR,KC,,,,,,,,,,,,,,,,
00-0034331,Jaylen Samuels,RB,PIT,,,,,,,,,,,,,,,,
00-0034339,Trey Quinn,WR,WAS,,,,,,,,,,,,,,,,
00-0034340,Christian Scotland-Williamson,TE,PIT,,,,,,,,,,,,,,,,
00-0034343,Josh Rosen,QB,ARI,,,,,,,,,,,,,,,,
00-0034348,Courtland Sutton,WR,DEN,,,,,,,,,,,,,,,,
00-0034349,Kerryon Johnson,RB,DET,,,,,,,,,,,,,,,,
00-0034351,Dallas Goedert,TE,PHI,,,,,,,,,,,,,,,,
00-0034353,Anthony Miller,WR,CHI,,,,,,,,,,,,,,,,
00-0034358,Derrius Guice,RB,WAS,,,,,,,,,,,,,,,,
00-0034364,Jordan Akins,TE,HOU,,,,,,,,,,,,,,,,
00-0034365,Ian Thomas,TE,CAR,,,,,,,,,,,,,,,,
00-0034366,Keke Coutee,WR,HOU,,,,,,,,,,,,,,,,
00-0034367,Nyheim Hines,RB,IND,,,,,,,,,,,,,,,,
00-0034369,Kyle Lauletta,QB,NYG,,,,,,,,,,,,,,,,
00-0034370,DaeSean Hamilton,WR,DEN,,,,,,,,,,,,,,,,
00-0034378,Ito Smith,RB,ATL,,,,,,,,,,,,,,,,
00-0034383,Dalton Schultz,TE,DAL,,,,,,,,,,,,,,,,
