,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0028237,Chris Hogan,WR,NE,3.5,18.8,22.8,17.0,21.4,2.9,11.1,11.0,,,,,,1.1,,
00-0028263,Andre Holmes,WR,BUF,7.1,3.8,8.6,2.0,,,3.1,14.1,2.6,,1.7,,,,,
00-0028434,Doug Baldwin,WR,SEA,10.0,10.4,26.5,8.5,7.7,,24.2,11.4,23.8,14.5,12.0,4.0,13.4,16.8,1.6,13.5
00-0028497,Kamar Aiken,WR,PHI,1.3,6.1,1.9,1.4,4.2,4.1,2.8,5.3,,,,,,,,
00-0028581,Patrick DiMarco,RB,BUF,1.5,,,-0.2,,,,,0.0,5.1,,,,,1.6,0.2
00-0028825,Terrelle Pryor,WR,NYJ,12.6,5.1,3.9,16.0,,5.3,3.4,,3.7,,,,,,,
00-0028903,Garrett Celek,TE,SF,,1.6,7.1,,1.6,2.3,2.1,3.4,2.3,16.7,,2.7,5.0,14.7,15.3,
00-0028957,Austin Davis,QB,SEA,,,,,,,-0.1,,,,,,,,,
00-0028986,Case Keenum,QB,DEN,,6.68,28.56,8.76,11.8,13.06,6.42,17.52,,24.06,17.2,27.28,16.98,19.2,19.44,9.36
00-0029000,Cole Beasley,WR,DAL,6.2,7.3,1.4,4.7,18.3,,3.4,2.8,18.4,4.3,2.7,3.9,3.4,8.9,2.5,3.2
00-0029033,Griff Whalen,WR,OAK,,,,,,,6.3,0.0,,,,,,,,
00-0029068,Derrick Coleman,RB,ARI,,,,2.1,,,,,1.9,0.8,,,,,,
00-0029119,Derek Carrier,TE,OAK,2.2,1.9,2.7,,,,,,1.5,,,,2.4,0.0,1.4,
00-0029129,Rod Streater,WR,BUF,,,,,,,,,,,,,,,,
00-0029137,Alshon Jeffery,WR,PHI,8.8,22.2,9.6,11.9,6.1,11.1,5.7,16.2,26.4,,18.7,16.2,10.1,16.2,14.9,
00-0029159,Jermaine Kearse,WR,NYJ,12.9,22.4,7.2,5.7,13.8,11.9,9.9,3.4,5.8,7.5,,23.5,24.7,1.4,5.8,9.2
00-0029205,Travaris Cadet,RB,BUF,,,,,,5.9,,,,,11.6,7.9,7.1,0.2,4.8,0.0
00-0029239,Brandon Bolden,RB,NE,,,,,,,,,,0.1,,,,,,2.0
00-0029263,Russell Wilson,QB,SEA,8.32,15.32,33.52,27.6,11.52,,26.36,35.08,23.58,19.42,30.92,23.62,24.18,21.84,11.58,14.62
00-0029269,Travis Benjamin,WR,SD,13.3,2.1,16.4,4.1,5.2,0.0,17.6,18.8,,1.3,3.8,8.6,10.8,6.3,2.4,-0.4
00-0029273,Robert Turbin,RB,IND,1.3,2.9,3.0,6.8,3.9,8.0,,,,,,,,,,
00-0029293,Marvin Jones,WR,DET,11.7,9.7,5.4,6.2,11.4,21.6,,18.8,29.7,3.2,18.5,28.9,13.0,9.4,11.5,8.0
00-0029319,Josh Bellamy,WR,CHI,5.7,9.1,,6.6,,,,,,13.7,,,1.4,7.2,12.0,7.9
00-0029388,Deonte Thompson,WR,DAL,2.5,15.7,1.9,9.4,0.0,,14.7,1.5,21.1,1.5,6.6,1.6,4.1,4.4,2.6,13.1
00-0029391,Sean McGrath,TE,DET,,2.0,,,,,,,,,2.0,,,,,4.6
00-0029414,Orson Charles,TE,CLE,,,,,,,,,,,,,,,2.8,4.5
00-0029492,Jamize Olawale,RB,DAL,,,,3.5,1.3,,,6.3,,,4.2,,4.3,,,
00-0029567,Nick Foles,QB,PHI,,,,,,,,-0.2,-0.7,,,-1.46,,2.58,25.48,8.52
00-0029572,Jarius Wright,WR,CAR,3.1,1.9,8.9,,,,8.4,,,7.7,3.3,4.5,4.8,3.3,2.1,1.8
00-0029580,Rishard Matthews,WR,TEN,12.1,7.3,20.7,7.9,6.1,10.9,7.0,,17.0,10.0,22.3,,,4.9,21.5,6.8
00-0029587,Rhett Ellison,TE,NYG,1.9,4.1,,9.1,1.9,,,,4.1,,1.7,1.9,1.5,12.0,,10.0
00-0029604,Kirk Cousins,QB,MIN,10.6,11.86,26.8,20.6,,27.8,23.92,10.52,8.28,27.58,25.98,16.08,12.64,8.84,15.84,22.76
00-0029608,T.Y. Hilton,WR,IND,6.7,8.9,28.3,6.0,24.7,2.9,4.7,3.5,34.5,4.3,,3.5,14.1,4.0,9.1,16.0
00-0029613,Doug Martin,RB,OAK,,,,,15.2,15.4,10.0,8.5,0.7,5.1,6.4,3.3,,11.0,,0.7
00-0029615,Lamar Miller,RB,HOU,11.6,11.7,7.3,29.1,10.9,11.1,,22.3,12.1,8.4,18.3,12.8,13.4,8.0,5.3,7.5
00-0029623,Alex Tanney,QB,NYG,,,,,,,,,,,,,,,,
00-0029632,Mohamed Sanu,WR,ATL,10.7,13.5,12.8,1.7,,,12.5,19.4,11.3,5.9,12.7,20.44,7.3,20.3,4.6,7.1
00-0029638,Michael Floyd,WR,NO,,,,,2.9,1.5,,1.7,,,3.6,1.8,4.0,1.3,,1.0
00-0029640,Brian Quick,WR,WAS,2.1,,,,,,,,7.9,,,,,1.7,,1.9
00-0029665,Robert Griffin III,QB,BAL,,,,,,,,,,,,,,,,
00-0029668,Andrew Luck,QB,IND,,,,,,,,,,,,,,,,
00-0029673,DeVier Posey,WR,BAL,,,,,,,,,,,,,,,,
00-0029677,Brandon Weeden,QB,HOU,,,,,,,,,,,,,,,,
00-0029682,Brock Osweiler,QB,MIA,,,,,,0.62,,,8.32,10.74,14.56,,,,25.46,8.42
00-0029689,Dwayne Allen,TE,NE,,,,,,,,,,8.1,4.4,1.2,1.3,3.0,2.0,4.6
00-0029701,Ryan Tannehill,QB,MIA,,,,,,,,,,,,,,,,
00-0029707,Justin Blackmon,WR,JAC,,,,,,,,,,,,,,,,
00-0029708,Kendall Wright,WR,MIN,6.4,13.9,,15.1,8.6,5.6,,4.3,,9.6,4.5,3.5,4.5,20.7,15.1,6.7
00-0029731,Fozzy Whittaker,RB,CAR,0.1,,1.2,12.4,,-0.3,,,,,,0.0,0.0,,0.3,1.9
00-0029738,Darren Fells,TE,CLE,,1.3,1.8,8.0,16.4,10.6,,2.2,2.0,,1.9,,3.0,3.3,0.0,
00-0029795,Benny Cunningham,RB,CHI,0.0,,5.3,2.6,12.7,0.0,,1.0,,4.2,2.8,1.8,,3.4,13.3,8.2
00-0029848,Nick Williams,WR,TEN,,,,6.0,,,,,,,,,,,,
00-0029854,C.J. Anderson,RB,CAR,9.8,30.4,6.3,15.2,,1.7,7.1,9.5,1.3,6.5,11.6,1.2,15.0,9.3,15.8,28.3
00-0029857,Ryan Griffin,QB,TB,,,,,,,,,,,,,,,,
00-0029878,MarQueis Gray,TE,MIA,,,,,0.0,,,,0.3,,,,,2.2,0.7,
00-0029892,Kyle Juszczyk,RB,SF,3.7,,4.4,5.3,9.7,,,1.2,0.0,5.7,,2.8,5.3,9.4,3.6,12.6
00-0029910,Timothy Wright,TE,KC,,,,,,,,,,,,,,,,
00-0029931,Zach Line,RB,NO,,,,,,,,,0.4,0.9,0.2,,,,2.3,
00-0030035,Adam Thielen,WR,MIN,24.7,7.4,14.8,8.9,9.5,18.7,9.1,20.8,,30.6,24.3,16.9,9.1,22.5,6.0,4.4
00-0030061,Zach Ertz,TE,PHI,17.3,14.7,17.5,13.1,18.1,15.8,19.9,13.4,,,2.8,26.3,4.4,,17.6,17.1
00-0030068,Marquise Goodwin,WR,SF,5.1,5.6,8.2,2.8,16.6,5.2,12.0,,8.8,17.1,,11.8,17.9,16.6,22.4,6.7
00-0030085,Kenny Stills,WR,MIA,,11.7,9.1,4.3,2.3,14.9,26.5,11.5,5.8,11.7,31.0,7.7,18.8,3.8,1.8,7.4
00-0030089,Luke Willson,TE,DET,,5.5,14.3,7.6,,,2.3,0.0,8.0,,1.9,,,2.2,9.6,2.9
00-0030091,Tavarres King,WR,MIN,,,,,,1.7,0.3,,12.3,5.3,7.8,5.6,6.3,,21.0,
00-0030107,Theo Riddick,RB,DET,14.6,6.7,7.8,2.2,9.3,10.3,,6.5,11.3,13.7,4.9,4.0,17.2,27.3,7.1,6.9
00-0030108,Ryan Griffin,TE,HOU,,,17.1,3.3,4.2,10.2,,2.0,,,,,,,,
00-0030112,Tommy Bohanon,RB,JAC,7.1,,1.8,3.4,0.0,,2.4,,1.6,,0.3,,,,12.2,
00-0030113,Charles D. Johnson,WR,NYJ,,,,,,,,,,,,,,,,
00-0030117,Kerwynn Williams,RB,KC,8.2,2.2,0.3,1.9,-0.2,1.4,4.7,,0.6,0.0,2.8,2.8,9.7,9.8,6.1,8.5
00-0030147,Russell Shepard,WR,NYG,13.3,1.6,,2.3,3.5,3.2,4.0,2.4,1.1,7.0,,,5.9,0.8,,
00-0030151,Tyler Bray,QB,CHI,,,,,,,,,,,,,,,,
00-0030155,Demetrius Harris,TE,KC,9.5,,,,5.1,,3.6,,,,,5.3,,3.5,1.7,7.4
00-0030181,Jack Doyle,TE,IND,6.1,15.9,1.6,7.7,,16.0,10.4,30.1,14.3,2.9,,16.4,4.6,8.4,11.7,9.1
00-0030187,Rashad Ross,WR,ARI,,,,,,,,,,,,,,,,
00-0030216,Josh Hill,TE,NO,,5.9,1.3,,,,,5.9,,-1.2,6.5,,-0.2,3.4,3.2,3.1
00-0030279,Keenan Allen,WR,SD,14.5,19.0,11.1,18.8,10.7,9.5,7.1,10.1,,9.4,40.2,34.2,26.5,17.1,10.4,11.3
00-0030280,Knile Davis,RB,CHI,,,,,,,,,,,,,,,,
00-0030288,Rex Burkhead,RB,NE,3.3,13.4,,,,,5.2,15.3,,15.3,7.7,19.3,25.3,16.3,8.7,
00-0030300,Jaron Brown,WR,SEA,0.0,11.3,10.7,18.5,6.9,4.0,5.7,,7.3,3.3,3.2,12.2,,3.5,1.9,4.7
00-0030400,Marlon Brown,WR,CHI,,,,,,,,,,,,,,,,
00-0030404,Chris Thompson,RB,WAS,15.6,25.6,30.8,1.7,,17.8,17.4,15.4,7.1,9.7,10.3,,,,,
00-0030414,Spencer Ware,RB,KC,,,,,,,,,,,,,,,,
00-0030419,Matt McGloin,QB,KC,,,,,,,,,,,,,,,,
00-0030422,Dion Sims,TE,CHI,5.1,,,1.8,2.7,12.2,,4.5,,,,0.7,1.5,5.2,1.9,3.4
